name,full_name,age,date_of_birth,place_of_birth,nationality,height_cm,foot,current_club,position,shirt_number,joined_club,contract_until,market_value,max_market_value,matches_played,goals,assists,minutes_played,yellow_cards,red_cards,error
Lucas Chevalier,Lucas Eugène Chevalier,24,06/11/2001,Calais,France,189,right,PSG,Goalkeeper,30,09/08/2025,30/06/2030,€35.00m,,,,,,,,
Matvey Safonov,Сафонов Матвей Евгеньевич,26,25/02/1999,Krasnodar,Russia,192,right,PSG,Goalkeeper,39,01/07/2024,30/06/2029,€15.00m,,,,,,,,
Renato Marin,Renato Bellucci Marin,19,10/07/2006,São Paulo,"Italy, Brazil",190,right,PSG,Goalkeeper,89,17/07/2025,30/06/2030,€500k,,,,,,,,
Willian Pacho,Willian Joel Pacho Tenorio,24,16/10/2001,Quinindé,Ecuador,188,left,PSG,Defender - Centre-Back,51,09/08/2024,30/06/2029,€70.00m,,,,,,,,
Ilya Zabarnyi,Забарний Ілля Борисович,23,01/09/2002,Kyiv,Ukraine,189,right,PSG,Defender - Centre-Back,6,12/08/2025,30/06/2030,€50.00m,,,,,,,,
Marquinhos,,31,14/05/1994,São Paulo,"Brazil, Portugal",183,right,PSG,Defender - Centre-Back,5,19/07/2013,30/06/2028,€30.00m,,,,,,,,
Lucas Beraldo,Lucas Lopes Beraldo,22,24/11/2003,Piracicaba,Brazil,186,left,PSG,Defender - Centre-Back,4,01/01/2024,30/06/2028,€20.00m,,,,,,,,
Nuno Mendes,Nuno Alexandre Tavares Mendes,23,19/06/2002,Lisboa,Portugal,180,left,PSG,Defender - Left-Back,25,01/07/2022,30/06/2029,€75.00m,,,,,,,,
Lucas Hernández,Lucas François Bernard Hernández,30,14/02/1996,Marseille,"France, Spain",184,left,PSG,Defender - Left-Back,21,09/07/2023,30/06/2028,€20.00m,,,,,,,,
Achraf Hakimi,أشرف حكيمي,27,04/11/1998,Madrid,"Morocco, Spain",181,right,PSG,Defender - Right-Back,2,06/07/2021,30/06/2029,€80.00m,,,,,,,,
Vitinha,,26,13/02/2000,Vila das Aves,Portugal,172,right,PSG,Midfield - Defensive Midfield,17,01/07/2022,30/06/2029,€110.00m,,,,,,,,
João Neves,João Pedro Gonçalves Neves,21,27/09/2004,Tavira,Portugal,174,right,PSG,Midfield - Central Midfield,87,05/08/2024,30/06/2029,€110.00m,,,,,,,,
Warren Zaïre-Emery,Warren Marie Jean-Pierre Zaïre-Emery,19,08/03/2006,Montreuil,"France, Martinique",178,right,PSG,Midfield - Central Midfield,33,01/07/2022,30/06/2029,€50.00m,,,,,,,,
Fabián Ruiz,Fabián Ruiz Peña,29,03/04/1996,Los Palacios y Villafranca,Spain,189,left,PSG,Midfield - Central Midfield,8,30/08/2022,30/06/2027,€40.00m,,,,,,,,
Senny Mayulu,Senny Nsona Mayulu,19,17/05/2006,Le Blanc-Mesnil,"France, DR Congo",183,both,PSG,Midfield - Central Midfield,24,01/01/2024,30/06/2027,€40.00m,,,,,,,,
Kang-in Lee,이강인,24,19/02/2001,"Namdong-gu, Incheon","Korea, South",173,left,PSG,Midfield - Attacking Midfield,19,08/07/2023,30/06/2028,€25.00m,,,,,,,,
Dro Fernández,Pedro Fernández Sarmiento,18,12/01/2008,Nigrán,"Spain, Philippines",180,right,PSG,Midfield - Attacking Midfield,27,26/01/2026,30/06/2030,€10.00m,,,,,,,,
Khvicha Kvaratskhelia,ხვიჩა კვარაცხელია,25,12/02/2001,Tiflis,Georgia,183,both,PSG,Attack - Left Winger,7,17/01/2025,30/06/2029,€90.00m,,,,,,,,
Bradley Barcola,Bradley Jean-Manuel Essolisam Addo Barcola,23,02/09/2002,Lyon,"France, Togo",182,right,PSG,Attack - Left Winger,29,31/08/2023,30/06/2028,€70.00m,,,,,,,,
Quentin Ndjantou,Quentin Enzo Léo Ndjantou Mbitcha,18,23/07/2007,Arpajon,"France, Cameroon",182,right,PSG,Attack - Left Winger,47,01/07/2025,30/06/2028,€7.00m,,,,,,,,
Désiré Doué,Désiré Nonka-Maho Doué,20,03/06/2005,Angers,"France, Cote d'Ivoire",181,right,PSG,Attack - Right Winger,14,17/08/2024,30/06/2029,€90.00m,,,,,,,,
Ibrahim Mbaye,,18,24/01/2008,Trappes,"Senegal, France",175,right,PSG,Attack - Right Winger,49,01/07/2025,30/06/2028,€25.00m,,,,,,,,
Ousmane Dembélé,Masour Ousmane Dembélé,28,15/05/1997,Vernon,France,178,both,PSG,Attack - Centre-Forward,10,12/08/2023,30/06/2028,€100.00m,,,,,,,,
Gonçalo Ramos,Gonçalo Matias Ramos,24,20/06/2001,Olhão,Portugal,185,right,PSG,Attack - Centre-Forward,9,01/01/2024,30/06/2028,€35.00m,,,,,,,,
Gerónimo Rulli,,33,20/05/1992,La Plata,"Argentina, Italy",189,right,Marseille,Goalkeeper,1,11/08/2024,30/06/2027,€9.00m,,,,,,,,
Jeffrey de Lange,,27,01/04/1998,Amstelveen,Netherlands,190,right,Marseille,Goalkeeper,12,08/08/2024,30/06/2027,€2.00m,,,,,,,,
Jelle Van Neck,,21,07/03/2004,Brugge,Belgium,191,right,Marseille B,Goalkeeper,,01/07/2022,30/06/2027,,,,,,,,,
Théo Vermot,,29,27/01/1997,Fréjus,France,190,right,Marseille B,Goalkeeper,,01/07/2024,30/06/2026,,,,,,,,,
Nayef Aguerd,نايف أكرد,29,30/03/1996,Kénitra,Morocco,190,left,Marseille,Defender - Centre-Back,21,01/09/2025,30/06/2030,€22.00m,,,,,,,,
Leonardo Balerdi,Leonardo Julián Balerdi Rosa,27,26/01/1999,Villa Mercedes,"Argentina, Italy",187,right,Marseille,Defender - Centre-Back,5,03/07/2021,30/06/2028,€20.00m,,,,,,,,
Benjamin Pavard,Benjamin Jacques Marcel Pavard,29,28/03/1996,Maubeuge,France,186,right,Marseille,Defender - Centre-Back,28,01/09/2025,30/06/2026,€20.00m,,,,,,,,
Facundo Medina,Facundo Axel Medina,26,28/05/1999,Villa Fiorito,Argentina,184,left,Marseille,Defender - Centre-Back,32,02/07/2025,30/06/2026,€20.00m,,,,,,,,
CJ Egan-Riley,Conrad Jaden Egan-Riley,23,02/01/2003,Manchester,"England, Ireland",183,right,Marseille,Defender - Centre-Back,4,01/07/2025,30/06/2029,€12.00m,,,,,,,,
Emerson,,31,03/08/1994,Santos,"Italy, Brazil",176,left,Marseille,Defender - Left-Back,33,01/09/2025,30/06/2027,€10.00m,,,,,,,,
Arthur Vermeeren,Arthur Denis Vermeeren,21,07/02/2005,Lier,Belgium,180,right,Marseille,Midfield - Defensive Midfield,18,31/08/2025,30/06/2026,€28.00m,,,,,,,,
Pierre-Emile Højbjerg,Pierre-Emile Kordt Højbjerg,30,05/08/1995,København,"Denmark, France",185,right,Marseille,Midfield - Defensive Midfield,23,01/07/2025,30/06/2028,€18.00m,,,,,,,,
Geoffrey Kondogbia,Geoffrey Edwin Kondogbia,33,15/02/1993,Nemours,"Central African Republic, France",188,left,Marseille,Midfield - Defensive Midfield,19,01/07/2023,30/06/2027,€5.00m,,,,,,,,
Tochukwu Nnadi,,22,30/06/2003,Ihiagwa,Nigeria,176,right,Marseille,Midfield - Defensive Midfield,6,02/02/2026,30/06/2030,€2.00m,,,,,,,,
Quinten Timber,Quinten Ryan Crispito Timber,24,17/06/2001,Utrecht,"Netherlands, Curacao",179,right,Marseille,Midfield - Central Midfield,27,23/01/2026,30/06/2030,€25.00m,,,,,,,,
Bilal Nadir,بلال نذير,22,28/11/2003,Nice,"Morocco, France",179,left,Marseille,Midfield - Central Midfield,26,01/07/2023,30/06/2026,€9.00m,,,,,,,,
Timothy Weah,Timothy Tarpeh Weah,25,22/02/2000,"New York City, New York","United States, France",183,right,Marseille,Midfield - Right Midfield,22,06/08/2025,30/06/2026,€20.00m,,,,,,,,
Ethan Nwaneri,Ethan Chidiebere Nwaneri,18,21/03/2007,London,"England, Nigeria",176,left,Marseille,Midfield - Attacking Midfield,11,23/01/2026,30/06/2026,€40.00m,,,,,,,,
Himad Abdelli,حيماد عبدلي,26,17/11/1999,Montivilliers,"Algeria, France",185,right,Marseille,Midfield - Attacking Midfield,8,02/02/2026,30/06/2030,€7.00m,,,,,,,,
Igor Paixão,Igor Guilherme Barbosa da Paixão,25,28/06/2000,Macapá,Brazil,168,right,Marseille,Attack - Left Winger,14,01/08/2025,30/06/2030,€35.00m,,,,,,,,
Hamed Traoré,Hamed Junior Traoré,25,16/02/2000,Abidjan,Cote d'Ivoire,177,right,Marseille,Attack - Left Winger,20,29/08/2025,30/06/2026,€15.00m,,,,,,,,
Mason Greenwood,Mason Will John Greenwood,24,01/10/2001,Bradford,"England, Jamaica",181,both,Marseille,Attack - Right Winger,10,18/07/2024,30/06/2029,€50.00m,,,,,,,,
Amine Gouiri,Amine Ferid Gouiri,25,16/02/2000,Bourgoin-Jallieu,"Algeria, France",181,right,Marseille,Attack - Centre-Forward,9,31/01/2025,30/06/2029,€28.00m,,,,,,,,
Pierre-Emerick Aubameyang,Pierre-Emerick Emiliano François Aubameyang,36,18/06/1989,Laval,"Gabon, France",187,right,Marseille,Attack - Centre-Forward,17,31/07/2025,30/06/2027,€3.00m,,,,,,,,
Philipp Köhn,Philipp François Köhn,27,02/04/1998,Dinslaken,"Switzerland, Germany",190,right,Monaco,Goalkeeper,16,15/07/2023,30/06/2028,€4.00m,,,,,,,,
Lukas Hradecky,Lukáš Hrádecký,36,24/11/1989,Bratislava,"Finland, Slovakia",192,right,Monaco,Goalkeeper,1,08/08/2025,30/06/2027,€1.80m,,,,,,,,
Jules Stawiecki,,18,10/04/2007,Dijon,"France, Poland",186,left,Monaco U19,Goalkeeper,,30/01/2024,30/06/2029,€150k,,,,,,,,
Yann Lienard,Yann François Lienard,22,16/03/2003,Aubagne,France,194,right,Monaco,Goalkeeper,50,01/07/2023,30/06/2027,€100k,,,,,,,,
Thilo Kehrer,Jan Thilo Kehrer,29,21/09/1996,Tübingen,"Germany, Burundi",186,both,Monaco,Defender - Centre-Back,5,01/07/2024,30/06/2028,€18.00m,,,,,,,,
Christian Mawissa,Christian Mawissa Elebi,20,18/04/2005,Saint-Jean-de-Verges,"France, DR Congo",184,left,Monaco,Defender - Centre-Back,13,11/08/2024,30/06/2029,€15.00m,,,,,,,,
